candidate_label,mean_knn_distance
AHA_Plate006_002003,0.009605599
AHA_Plate011_1_001003,0.009427017
ALB_Plate014_010017,0.009419036
AEB_Plate024_011008,0.009376556
ALB_Plate023_2_004016,0.009257776
AHA_Plate010_014023,0.0092025455
AEB_Plate020_005001,0.009097618
AEC_Plate030_1_016024,0.009023661
ALB_Plate018_007015,0.008940739
AEB_Plate015_015013,0.008920938
AHA_Plate002_009012,0.008905143
AHA_Plate001_2_008009,0.00882023
AEB_Plate004_016001,0.008723313
AEB_Plate045_002012,0.008708173
ALB_Plate010_2_004009,0.008696574
AHA_Plate009_1_007001,0.008544517
AHA_Plate001_1_003007,0.008373529
AHA_Plate009_1_005024,0.008263993
AHA_Plate001_2_003012,0.008263731
AEB_Plate040_010009,0.008180964
AHA_Plate001_1_007005,0.008179265
ALB_Plate018_009011,0.0080987215
ALB_Plate018_013013,0.007971001
AEB_Plate034_014015,0.007892269
ALB_Plate011_1_002009,0.007809031
AHA_Plate006_016021,0.0077665984
AHA_Plate006_012007,0.0077536465
ALB_Plate022_2_015003,0.0077507435
AEB_Plate005_012016,0.007526624
AHA_Plate005_006011,0.007510066
AHA_Plate009_2_003003,0.007484102
ALB_Plate010_1_004009,0.0074429987
ALB_Plate001_2_014010,0.007381797
AEB_Plate025_014002,0.0071954727
AHA_Plate009_1_009005,0.007178694
AHA_Plate001_1_007003,0.0071168304
AHA_Plate011_1_006001,0.007115376
ALB_Plate022_2_005024,0.007077527
AHA_Plate001_1_011019,0.00701949
ALB_Plate003_012005,0.0070018647
AHA_Plate004_016003,0.0069636283
ALB_Plate024_004010,0.006946939
AEB_Plate025_014023,0.00693506
AHA_Plate009_1_011003,0.006873411
AEC_Plate002_014024,0.00682655
AHA_Plate001_2_011019,0.006804222
AEC_Plate032_016002,0.006604296
ALB_Plate022_2_005002,0.0064209164
AHA_Plate001_1_003012,0.0064093173
AHA_Plate010_011015,0.006399727
ALB_Plate003_008003,0.006398678
AHA_Plate007_1_003013,0.0062672137
AHA_Plate003_011011,0.0062099816
AEC_Plate021_004018,0.0061962726
AHA_Plate008_015013,0.0059967698
ALB_Plate023_1_004016,0.0059901415
AEB_Plate021_014024,0.0059705735
ALB_Plate008_003016,0.0059644044
ALB_Plate022_1_008015,0.005924958
AHA_Plate008_001019,0.0058930516
AHA_Plate006_003015,0.0058288635
ALB_Plate001_1_009008,0.005787343
AEB_Plate029_2_002013,0.005762684
ALB_Plate022_2_008015,0.005760354
AHA_Plate011_1_015002,0.0057576597
ALB_Plate022_1_002007,0.005757147
AEC_Plate023_011013,0.005702323
AEC_Plate030_1_016001,0.0056947647
AHA_Plate009_1_010002,0.0056797145
AHA_Plate005_008005,0.0056539415
ALB_Plate002_2_009005,0.0056311428
ALB_Plate022_1_014009,0.0055459975
AEB_Plate026_011021,0.005502826
ALB_Plate013_005003,0.0054858685
ALB_Plate019_002018,0.0054660677
AEB_Plate021_014023,0.0054272055
ALB_Plate018_009015,0.0053253053
AHA_Plate008_016019,0.0052447915
AHA_Plate001_1_008009,0.0052289725
AHA_Plate006_007004,0.005216235
AHA_Plate003_009003,0.005176091
