"well_index","Plate001","Plate002","Plate003","Plate004","Plate005","Plate006","Plate007","Plate008","Plate010","Plate009","Plate011"
"009008","Calcitriol","Ivabradine HCl","Daunorubicin HCl","Levobupivacaine HCl","Isosorbide Mononitrate","Dapiprazole Hydrochloride","Sodium L-lactate","Sevoflurane","?","Clodronate disodium tetrahydrate","?"
"009009","Rucaparib (AG-014699,PF-01367338) phosphate","Ranitidine Hydrochloride","Hexestrol","Balsalazide disodium","Meclofenamate Sodium","Iminostilbene","Betahistine","Larotrectinib (LOXO-101) sulfate","R788 (Fostamatinib) Disodium","Levamisole hydrochloride","?"
"009010","Ponatinib (AP24534)","Temocapril HCl","Bosentan Hydrate","Decamethonium Bromide","Tedizolid Phosphate","Diazolidinyl urea","Phenylglyoxylic acid","Ansamitocin p-3 (Maytansinol isobutyrate, NSC292222)","?","Bendazac L-lysine","?"
"009011","PA-824","Clofibrate","Moroxydine HCl","Sinomenine hydrochloride","Auranofin","Valpromide","Rhodamine B","Cobimetinib (GDC-0973, RG7420)","Oseltamivir Phosphate","Lisinopril dihydrate","?"
"009012","Alprostadil","Lapatinib","Diclofenac Diethylamine","Sulfacetamide Sodium","Sulpiride","Bromisoval","(±)-α-Tocopherol","AG-120 (racemic)","?","Sugammadex (sodium)","?"
"009013","Bicalutamide","Atracurium Besylate","Pancuronium dibromide","Ligustrazine hydrochloride","Isoetharine Mesylate","Cefotiam hydrochloride","Venlafaxine","Radotinib","Sodium Aescinate","Tobramycin","?"
"009014","Febuxostat","Xylose","Beclomethasone dipropionate","Fenspiride HCl","Molsidomine","Meisoindigo","p-Toluenesulfonic acid monohydrate","Clozapine N-oxide","?","Adenosine disodium triphosphate","?"
"009015","Dutasteride","Clemastine Fumarate","Roxithromycin","Palmitic acid","Oxethazaine","Simeprevir","Orphenadrine Hydrochloride","Olmutinib (HM61713, BI 1482694)","Amoxapine","Vancomycin HCl","?"
"009016","Fasudil (HA-1077) HCl","Dabigatran Etexilate","Pidotimod","Voglibose","Hydroxyprogesterone caproate","Cefpodoxime proxetil","Sodium lauryl sulfate","Carbetapentane","?","Atosiban Acetate","?"
"009017","Nelarabine","Diltiazem HCl","Maprotiline HCl","Ginsenoside Re","Tacrine HCl","Etofylline","(-)-Verbenone","Tucidinostat (Chidamide)","Alectinib hydrochloride","Danofloxacin Mesylate","?"
"009018","Cefdinir","Phenprocoumon","Trimethoprim","Desvenlafaxine Succinate","Vitamin E","Diflorasone","L-Lactic acid","Deoxycholic acid sodium salt","?","Angiotensin II human Acetate","?"
"009019","Fludarabine Phosphate","Sparfloxacin","Isoconazole nitrate","D-Galactose","Dicyclomine HCl","Tiamulin","Ketorolac tromethamine salt","Omadacycline tosylate","Indoximod (NLG-8189）","Abacavir sulfate","?"
"009020","Riluzole","Abiraterone Acetate","Entacapone","Tolazoline HCl","CarbinoxaMine Maleate","Ajmaline","Sodium Thiocyanate","Amiloxate","?","Estramustine phosphate sodium","?"
"009021","Latrepirdine 2HCl","Potassium Iodide","Trospium chloride","D-Pinitol","Bentiromide","Rifamycin sodium salt","Pravastatin","Berberine","?","Imipenem","?"
"009022","Nitazoxanide","Artemether","Sertaconazole nitrate","Dinitolmide","Esculetin","Cyclofenil","D-Glucuronic acid","Ceftaroline Fosamil","?","L-Histidine monohydrochloride monohydrate","?"
"009023","DRB_200","DRB_200","DRB_200","DRB_200","DRB_200","DRB_200","DRB_200","DRB_200","DRB_200","?","?"
"009024","DRB_200","DRB_200","DRB_200","DRB_200","DRB_200","DRB_200","DRB_200","DRB_200","DRB_200","?","?"
"010001","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","?","?"
"010002","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","ETO_500","?","?"
"010003","Prasugrel","Flutamide","Terbinafine HCl","Isopsoralen","Pasiniazid","Ganciclovir sodium","Oxantel Pamoate","Melamine","?","L-Lysine hydrochloride","?"
