"well_index","Plate001","Plate002","Plate003","Plate004","Plate005","Plate006","Plate007","Plate008","Plate010","Plate009","Plate011"
"013020","Prilocaine","4-Methylumbelliferone (4-MU)","Articaine HCl","Troxipide","Vitamin K1","Dibutyl phthalate","Chlorhexidine diacetate","2-Methylpentanoic acid","?","Sodium stibogluconate","?"
"013021","Enzalutamide (MDV3100)","Nicotinamide (Vitamin B3)","Sulbactam sodium","Indigo","Camylofin Chlorhydrate","Dinoprost tromethamine","atorvastatin","Pulegone","?","Acamprosate Calcium","?"
"013022","Orlistat","Asiatic Acid","Benztropine mesylate","Azithromycin Dihydrate","Evans Blue","Chlorhexidine","Androsterone","Hemin","?","?","?"
"013023","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","?","?"
"013024","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","MEN_40","?","?"
"014001","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","?","?"
"014002","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","?","?"
"014003","Cinacalcet HCl","Tioconazole","Clomifene citrate","Sophoridine","Misoprostol","Losartan","Triiodothyronine","Sinensetin","?","L-SelenoMethionine","?"
"014004","Albendazole","Cinchonine(LA40221)","Carbenicillin disodium","Benzoic Acid","Cinnarizine","Sultamicillin Tosylate","Zucapsaicin","Perhexiline maleate","?","?","?"
"014005","Artemisinin","Alibendol","Tetracycline HCl","Lathyrol","17-Hydroxyprogesterone","Regorafenib Monohydrate","Midodrine","Carboprost","?","Bismuth Subcitrate Potassium","?"
"014006","Telbivudine","Enoxolone","Ticarcillin sodium","Coumarin","Ondansetron Hydrochloride Dihydrate","1,4-Cineole","Halazone","Ecamsule.2Na","?","?","?"
"014007","Cilostazol","Methoxsalen","Dimethyl Fumarate","Valproic acid","Chloroxylenol","p-Anisaldehyde","Morantel tartrate","Neryl acetate","?","Amprolium HCl","?"
"014008","Estrone","Honokiol","Fexofenadine HCl","Mezlocillin Sodium","p-Coumaric Acid","Sofalcone","Delavirdine (mesylate)","Almitrine mesylate","?","?","?"
"014009","Dexamethasone (DHAP)","Primidone","Acemetacin","Vanillyl Butyl Ether","Furazolidone","lutein","Methyl linoleate","10-Undecenoic acid","?","Capreomycin Sulfate","?"
"014010","Chloramphenicol","(+)-Matrine","Asiaticoside","Cyclandelate","Drostanolone Propionate","Saikosaponin A","Amezinium (methylsulfate)","Regorafenib Hydrochloride","?","?","?"
"014011","Fluoxetine HCl","Amiodarone HCl","Lonidamine","(+)-Catechin hydrate","Triclosan","Doramectin","Fenoterol","Methysergide Maleate","?","Ceftazidime Pentahydrate","?"
"014012","Betamethasone Valerate","Osthole","Cefpirome sulfate","Florfenicol","L-Cysteine HCl","Prilocaine hydrochloride","Eicosapentaenoic Acid","Pemetrexed","?","?","?"
"014013","Levetiracetam","Maraviroc","Ciprofibrate","Methyl 4-hydroxybenzoate","Bithionol","Pyrithioxin","Vancomycin","Danazol","?","Pralidoxime chloride","?"
"014014","Emtricitabine","Rutaecarpine","Mafenide Acetate","Montelukast Sodium","Cefoxitin sodium","Lomefloxacin","clobetasone butyrate","Bradykinin","?","?","?"
"014015","Gestodene","Formoterol Hemifumarate","Canagliflozin","Pergolide Mesylate","Diethylcarbamazine citrate","Benzyl cinnamate","Linoleic acid","Indinavir Sulfate","?","Choline bitartrate","?"
"014016","Glyburide (Glibenclamide)","Tanshinone I","Flupenthixol dihydrochloride","Mevastatin","Potassium acetate","Ilaprazole sodium","Duvelisib (IPI-145, INK1197)","?","?","?","?"
"014017","Nafamostat Mesylate","Rebamipide","Lonafarnib","Ampiroxicam","Terpin hydrate","Benzylpenicillin potassium","Xylometazoline","Apraclonidine HCl","?","Glycine","?"
"014018","Gemfibrozil","Ammonium Glycyrrhizinate","Levamlodipine","Phenazopyridine HCl","Tafluprost","Acetophenone","BAF312 (Siponimod)","?","?","?","?"
"014019","Rocuronium Bromide","Cyproheptadine HCl","Carfilzomib (PR-171)","Probenecid","Amodiaquine dihydrochloride dihydrate","Abacavir","Cortisone","Siramesine HCl","?","Pipemidic acid","?"
"014020","Telmisartan","Indirubin","Ethidium bromide","Tranylcypromine (2-PCPA) HCl","Cefetamet pivoxil hydrochloride","Olprinone","Ribociclib (LEE011)","?","?","?","?"
"014021","Linezolid","Cyclophosphamide Monohydrate","Lumiracoxib","Doxapram HCl","Benzyl benzoate","Fenretinide","Anagliptin","Dihydrocapsaicin","?","Dimemorfan phosphate","?"
"014022","Nisoldipine","Palmatine chloride","Phenethyl alcohol","Buspirone HCl","Cephapirin Benzathine","Amenamevir","Ledipasvir (GS5885)","?","?","?","?"
"014023","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","?","?"
"014024","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","MIT_3","?","?"
"015001","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","?","?"
"015002","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","?","?"
"015003","Dasatinib","Rifampin","Guanosine","Boldenone Undecylenate","Diacerein","Nikethamide","2-Hydroxybenzyl alcohol","Sacubitril/valsartan (LCZ696)","Ofloxacin","Gabapentin HCl","Besifloxacin HCl"
"015004","Tianeptine sodium","Ozagrel HCl","Pazopanib","Estradiol Cypionate","Dapson","Selamectin","Cefazolin","Dehydroandrographolide Succinate","?","Tobramycin sulfate","?"
"015005","Pazopanib HCl (GW786034 HCl)","Ethionamide","Bupivacaine HCl","Selexipag","Meclofenoxate (Centrophenoxine) HCl","Asunaprevir","Arabic gum","Docetaxel Trihydrate","Eplerenone","Varenicline Tartrate","Plerixafor (AMD3100)"
"015006","Zonisamide","Clevidipine Butyrate","Lamotrigine","Retapamulin","Ethosuximide","Ufenamate","Cefoxitin","Fadrozole","?","L-Alanine","?"
"015007","Olaparib (AZD2281, Ku-0059436)","Bacitracin Zinc","Estriol","Umeclidinium bromide","Metoclopramide HCl","Linalool","(1R)-(-)-Menthyl acetate","Oleuropein","Epalrestat","Gadodiamide Hydrate","?"
"015008","Safinamide Mesylate","Betaxolol","Fosaprepitant dimeglumine salt","Escitalopram Oxalate","Teneligliptin hydrobromide","Ramatroban","2-Naphthol","Rimegepant (BMS-927711)","?","edetate calcium disodium","?"
"015009","Malotilate","Aciclovir","Loperamide HCl","Sodium benzoate","Dicoumarol","Efonidipine","Ammonium lactate","Entrectinib (RXDX-101)","Diosmin","Procarbazine HCl","?"
"015010","Cefaclor","Naltrexone HCl","Alverine Citrate","Propranolol HCl","Dantrolene sodium hemiheptahydrate","Vidarabine monohydrate","Congo Red","3'-Fluoro-3'-deoxythymidine (Alovudine)","?","Malachite green","?"
"015011","Regorafenib (BAY 73-4506)","Betaxolol HCl","Nitrendipine","Tanshinone IIA sulfonate (sodium)","Carbadox","Avermectin B1","Hydroxyzine pamoate","Vorapaxar","Droxidopa","Kanamycin sulfate","?"
"015012","Cyclosporine","Conivaptan HCl","Piracetam","Lomerizine 2HCl","Hydroquinidine","Octinoxate","Maltotriose","Brilliant Blue G","?","Aprotinin","?"
"015013","Thalidomide","Albendazole Oxide","Pyrantel Pamoate","Ginkgolide C","Mesoridazine Besylate","Brivudine","Omeprazole Sodium","Halofuginone","Vincamine","Lomefloxacin HCl","?"
"015014","Pimobendan","S- (+)-Rolipram","Ulipristal Acetate (CDB 2914)","Difluprednate","Lidocaine hydrochloride","Sulbenicillin Sodium","Butylated hydroxytoluene","Capric acid","?","Eptifibatide Acetate","?"
"015015","Tivozanib (AV-951)","Bifonazole","Spectinomycin 2HCl","Trigonelline Hydrochloride","Piromidic Acid","Indobufen","Fruquintinib","Troglitazone (CS-045)","Dolutegravir Sodium","Plerixafor 8HCl (AMD3100 8HCl)","?"
"015016","Bestatin","Rosuvastatin Calcium","Sulfathiazole","Closantel Sodium","Terazosin HCl","Cefpiramide sodium","Methyl nicotinate","Staurosporine","?","Terlipressin Acetate","?"
"015017","Dacarbazine","Valaciclovir HCl","Phenytoin Sodium","Loganin","Glafenine HCl","Terconazole","Desoximetasone","Ipragliflozin (ASP1941)","Xanthopterin Hydrate","Caspofungin Acetate","?"
"015018","Pyridostigmine Bromide","Irinotecan HCl Trihydrate","Sulfamethazine","Histamine 2HCl","Escin","Alogliptin","1,2-Propanediol","2-Deoxy-D-ribose","?","(6-)ε-Aminocaproic acid","?"
"015019","Letrozole","Nizatidine","Secnidazole","Tetrahydropalmatine hydrochloride","Imipramine HCl","Benorylate","Fenipentol","L-Fucose","Sulfaquinoxaline sodium","Citicoline sodium","?"
"015020","Darunavir Ethanolate","Esculin","Gliquidone","Levodropropizine","Etretinate","Dimethyl phthalate","Octanoic acid","D-Mannosamine hydrochloride","?","HEPES","?"
"015021","Dienogest","Vitamin B12","Azelastine HCl","Scopoletin","Cephapirin Sodium","Revaprazan Hydrochloride","Abemaciclib","Berbamine","?","isoleucine","?"
"015022","Allopurinol","Baicalein","Altrenogest","Ampicillin Trihydrate","Isatin","Nefazodone hydrochloride","Glucosamine","Indole","?","?","?"
"015023","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","?","?"
"015024","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","PLU_20","?","?"
"016001","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","?","?"
"016002","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","?","?"
"016003","Celecoxib","Tropicamide","Cloxacillin Sodium","Hydroxy Camptothecine","Trimipramine Maleate","Dabrafenib Mesylate","Tetryzoline","Isofraxidin","?","Pemirolast potassium","?"
"016004","Chlorothiazide","Colchicine","Eletriptan HBr","Benzethonium Chloride","Perphenazine","Squalane","Clemizole","Ginsenoside Ro","?","?","?"
"016005","Asenapine maleate","Triamcinolone","Xylometazoline HCl","Ginsenoside Rg1","4-Aminoantipyrine","Osimertinib mesylate","Benzathine penicilline","Orcinol","?","Tetramisole HCl","?"
"016006","Monobenzone","Formononetin","Azlocillin sodium salt","Choline Chloride","Citalopram HBr","Clindamycin alcoholate","Riboflavin Tetrabutyrate","Mebrofenin","?","?","?"
"016007","Floxuridine","Miconazole Nitrate","Miglitol","L-Cycloserine","2-Aminoheptane","Tianeptine","Chlorpromazine","5,7-Dihydroxy-4-methylcoumarin","?","Bacitracin","?"
"016008","Flucytosine","Hyodeoxycholic acid (HDCA)","Moclobemide (Ro 111163)","Nicardipine HCl","Melibiose","Sanguinarine chloride","Bicyclol","Pipobroman","?","?","?"
"016009","Doxazosin Mesylate","Nefiracetam","Tioxolone","Nifuratel","i-Inositol","Proanthocyanidins","Citric acid","Undecanoic acid","?","Proflavine Hemisulfate","?"
"016010","Flurbiprofen","Morin Hydrate","Acetylspiramycin (ASPM)","Cinchophen","Trenbolone acetate","Pivmecillinam hydrochloride","Tafamidis","Levobupivacaine","?","?","?"
"016011","Flupirtine maleate","Adenine HCl","Ethisterone","Protocatechuic acid","Trihexyphenidyl hydrochloride","Olivetol","Proflavine","Methenamine Hippurate","?","Guanethidine Sulfate","?"
"016012","Praziquantel","Oxymatrine","Cefamandole nafate","Verapamil HCl","Diatrizoate sodium","Tribenzagan Hydrochloride","Octodrine (2-Amino-6-methylheptan)","Purine","?","?","?"
"016013","Lidocaine","Raltegravir (MK-0518)","Dolutegravir (GSK1349572)","L(+)-Arabinose","Bronopol","Citropten","Dronedarone","(−)-Norepinephrine","?","Eflornithine hydrochloride hydrate","?"
"016014","Progesterone","Rutin","Amlexanox","Dirithromycin","Propantheline bromide","Econazole","Methylprednisolone hemisuccinate","Linalyl Acetate","?","?","?"
"016015","Drospirenone","Chlormezanone","Alectinib (CH5424802)","Cabozantinib malate (XL184)","Diiodohydroxyquinoline","Kojic acid","L-Pyroglutamic acid","Sapropterin Dihydrochloride","?","D-(+)-Cellobiose","?"
"016016","Fomepizole","Tanshinone IIA","Ilaprazole","Erythritol","Cefcapene Pivoxil Hydrochloride","Ropivacaine","Tezacaftor?(VX-661)","?","?","?","?"
"016017","Naftopidil DiHCl","Aspartame","Dabrafenib (GSK2118436)","Desloratadine","Tyloxapol","Ciprofloxacin hydrochloride hydrate","Trazodone","Norethisterone Enanthate","?","Manganese chloride","?"
"016018","Indapamide","Butylscopolamine Bromide","Umbelliferone","Primaquine Diphosphate","Gadopentetate Dimeglumine","Geraniol","Selinexor (KPT-330)","?","?","?","?"
"016019","Stavudine (d4T)","Doxifluridine","Alogliptin（SYK-322）benzoate","Procaine HCl","Dithranol","Arformoterol Tartrate","Trans-Tranilast","Selpercatinib (LOXO-292, ARRY-192)","?","Methotrexate disodium","?"
"016020","Thiabendazole","Lappaconite HBr","Pargyline hydrochloride","Prucalopride Succinate","Nicarbazin","Landiolol hydrochloride","Osilodrostat (LCI699)","?","?","?","?"
"016021","Alfuzosin HCl","Tolnaftate","Pirfenidone","Dibucaine HCl","Benzyl alcohol","Nintedanib Ethanesulfonate Salt","Bictegravir","Magnolin","?","Cephradine monohydrate","?"
"016022","Octocrylene","Sodium Danshensu","4-Methylbenzylidene camphor","Alizapride HCl","Robenidine Hydrochoride","Kasugamycin hydrochloride","Abscisic Acid (Dormin）","?","?","?","?"
"016023","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","?","?"
"016024","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","t-BHP_100","?","?"
